	user	topic	link	utterance	effect	
	Alphex	Music	https://www.visions.de/community/forum/topic/6072/bands-die-ihr-nicht-aktiv-hoert-aber-den-eindruck-habt-die-sind-immer-gut	Aber stimmt schon, es gibt solche Bands, die gibt es zu lange, als dass die Standardpresse sich trauen würde, da zu rütteln	consession	
	Baron von Quakenbrück	Music	https://www.visions.de/community/forum/topic/6072/bands-die-ihr-nicht-aktiv-hoert-aber-den-eindruck-habt-die-sind-immer-gut	Wer die Weakerthans nennt, darf Propagandhi nicht unerwähnt lassen.	lecture	
	OneFingerSalute	Music	https://www.visions.de/community/forum/topic/6072/bands-die-ihr-nicht-aktiv-hoert-aber-den-eindruck-habt-die-sind-immer-gut	Aber qualitativ hochwertig ist wohl alles von ihnen, das stimmt. 	consession	
	reservoir dog	sports	https://www.visions.de/community/forum/topic/40/der-fussball-thread	Sorry schwerer Irrtum.	dissence	
	reservoir dog	sports	https://www.visions.de/community/forum/topic/40/der-fussball-thread	Juhu, Petric der Held.	praise	
	an0N_1186968199z	Lifestyle	https://psychologie.gofeminin.de/forum/ich-habe-panische-angst-vorm-zahnarzt-fd679828	das ist ja total ätzend.	dissence	
	"
W33dinator
"	Music	https://www.youtube.com/watch?v=Nm4vhWs8HTc	Haftbefehl eigentlich echt nicht meine Mukke, aber auf den Beats von BAZZAZIAN ballert es einfach zu bös'!	consession	
	Nouredin	Music	https://www.youtube.com/watch?v=Nm4vhWs8HTc	Allein mit dem Track hat er die ganze Deutschrap Szene in den Schatten gestellt	praise	
	NerdZone	Music	https://www.youtube.com/watch?v=Nm4vhWs8HTc	Heftigster Drop seit Mozart	praise	
	Fabian Dmblr	Music	https://www.youtube.com/watch?v=F1F3ey-gEmI	Man kann über Hafti sagen was Man will, aber selbstbewusst ist er	consession	
	"
DrunkenKidOnCrack
"	Music	https://www.youtube.com/watch?v=F1F3ey-gEmI	Ich feier den so hart	praise	
	Hermi Felder	Music	https://www.youtube.com/watch?v=F1F3ey-gEmI	unglaublicher scheiss...Hafti + Friends......was n scheiss?	dissence	
	vaas	Music	https://www.youtube.com/watch?v=1Wh5YEjxaJ4	Ist zwar ein lustiger joke, verursacht aber ohrenschmerzen	consession	
	Cliff Marzog	Music	https://www.youtube.com/watch?v=jZin92YQy9U	Malwieder künstlerisch sehr wertvoll!	praise	
	"
TodesTasse"	Music	https://www.youtube.com/watch?v=jZin92YQy9U	Maxim Oberkörperfrei auf einer Stute? Like!	praise	
	Matze St	Music	https://www.youtube.com/watch?v=6pe3_gCkHHk	Kein Wunder dass die Jugend voll verblödet..	insinuation	
	MrApplebee	Music	https://www.youtube.com/watch?v=6pe3_gCkHHk	ein Meisterwerk!	praise	
	helia dice	Music	https://www.youtube.com/watch?v=6pe3_gCkHHk	das ist der absolut geilste Satz in dem Song.	praise	
	Richard	Music	https://www.youtube.com/watch?v=6pe3_gCkHHk	beste Line überhaupt	praise	
	BLauEr HerbsT	Music	https://www.youtube.com/watch?v=6pe3_gCkHHk	geiler song....einfach nur GEIL!!!!	praise	
	Boltar	Lifestyle	https://www.e90-forum.de/index.php?thread/69542-xenon-entfernen/&postID=1767808#post1767808	Einfach ein paar gebrauchte Xenons rein tun und gut ist.	lecture	
	Brainny1	Lifestyle	https://www.e90-forum.de/index.php?thread/69542-xenon-entfernen/&postID=1767808#post1767808	Viel zu viel aufwand, nur um Murks zu betreiben.	dissence	
	rico67at	Lifestyle	https://www.e90-forum.de/index.php?thread/69542-xenon-entfernen/&postID=1767808#post1767808	Wie bereits gesagt: Nope, ist nicht möglich, da Xenon SW eben ein anderes Steuergerät haben.	lecture	
	EisDave	Lifestyle	https://www.e90-forum.de/index.php?thread/49657-vermessung-in-ordnung/&postID=1764709#post1764709	Wenn ich das Fahrzeugnieveau sehe, sollten hinten -1°55m bis -1°60m drin sein. 	lecture	
	"
Ben335"	Lifestyle	https://www.bmw-syndikat.de/bmwsyndikatforum/topic204919_Was_sagt_ihr_zu_diesen_problemen_im_E9x_hier!_.html&SearchTerms=e91	umsomehr elektronischer schnick schnack umsomehr probleme	insinuation	
	TheloniousMelodious	politics	https://www.tagesspiegel.de/berlin/coronakrise-in-berlin-und-brandenburg-anfragen-bei-verbraucherzentrale-mehr-als-verdoppelt/25655678.html#kommentare	Uneingeschränkte Zustimmung zu Ihrem Beitrag meinerseits.	praise	
