user	topic	link	utterance	category
Karla Jennifer Campbell	politics	https://www.youtube.com/watch?v=mXfG-U6FNco	I love how RICH democrats try to bring down a governor	insinuation
Karla Jennifer Campbell	politics	https://www.youtube.com/watch?v=mXfG-U6FNco	did his best to reopen Florida	praise
Steve Beasley	politics	https://www.youtube.com/watch?v=mXfG-U6FNco	is standing for truth and it is amazing to see him stand for family strong moral biblical values!!	praise
sharon	politics	https://www.youtube.com/watch?v=mXfG-U6FNco	I'm sorry I left Florida years ago and moved	concession
Lulu Moon	politics	https://www.youtube.com/watch?v=mXfG-U6FNco	She has integrity, and it shows!	praise
Fox Lancester	politics	https://www.youtube.com/watch?v=mXfG-U6FNco	carries herself with such grace. She's gorgeous.	praise
Omar Rivero	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	is about to go down in flames, and he’s going to take the entire Republican Party down with him.	insinuation
Dragon_Deeznuts	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	But then at least we end up with DeSantis and he's a good bet to go on	concession
Dragon_Deeznuts	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	knew the economy well, one of the very few reasons I loved him as a President.	concession
ViaAdInfernos	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	The only people not in the DoJ that knew about this were the secret service agents on site,	insinuation
Down Bernadotte	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	How do we know he didn't warn him?	dissent
Down Bernadotte	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	How do we know one of Trump's stooges in the FBI didn't warn Trump?	insinuation
Down Bernadotte	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	Come on' man, they scrapped their phones for him.	insinuation
Down Bernadotte	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	How do we know Trump didn't remove the evidence and take it with him to New York	insinuation
Web Dev Patriot	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	In all fairness, Biden doesn't even know what day it is so	insinuation
Garrel Lee	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	We are witnessing the beginning of a one party government	insinuation
ShareTheCare	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	Or did he?	insinuation
ShareTheCare	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	DT was tipped off by lil big boy.	insinuation
LeeGibbs Citizens	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	I don’t buy it, there’s no evidence	dissent
BTC Paulus Libertas 1776	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	Wait and see. November is going to be ugly for the clowns	insinuation
Michael C.	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	I disagree with DeSantis "knowing" about the raid.	dissent
Steven	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	They all hopped on a boat one day... Ready to set sail.	insinuation
Steven	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	They were so close to getting america back.	insinuation
Random Pseudo Lib	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	He broke several laws along the way and deserves whatever justice is waiting for him.	lecture
Julie	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	How convenient they came when he wasn’t here.	insinuation
Monica	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	That's just speculation & very irresponsible at that.	dissent
Patricia Graham Falino	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	He is a ruthless pathetic power hungry man who is loyal to no one.	insinuation
Michael Arndt	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	We may learn why GOP Senators and other had sudden attitude changes after golfing with Trump there	insinuation
Anne Sotelo	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	steady as she goes. Republicans are pretty a buoyant lot.	insinuation
Peter Pfotenhauer	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	I was hopeful they were taking him out in handcuffs	concession
Debs	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	wants the 2024 nomination, and getting another rival out of the way just makes it easier.	insinuation
Pedro R	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	you should be right but unfortunately that’s not the way this administration works.	lecture
NOELEDGE Consulting	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	The FBI has no obligation to inform him.	lecture
